NIT_Proveedor,Proveedor,Fecha_del_dia_de_trafico,Hora_Pico,Trafico_Datos_Internacional(GB),Trafico_Datos_NAPs-Colombia(GB),Trafico_Datos_Acuerdos_de_transito_o_peering_directo(GB),Trafico_Datos_Local(GB),Trafico_Datos_Total_Dia(GB)
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/05,20:00,228014,30121,0,422007,10902398
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/06,19:00,229502,28833,0,424063,10879342
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/07,19:00,229533,29293,0,429402,10976340
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/08,20:00,235741,30322,0,434955,11094874
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/09,21:00,232858,28277,0,476456,11499517
830122566,COLOMBIA TELECOMUNICACIONES,2020/05/10,21:00,224686,27138,0,447084,11443261
900092385,UNE EPM Telecomunicaciones S.A.,2020/03/30,21:51,265500,52650,321300,918000,25009920
900092385,UNE EPM Telecomunicaciones S.A.,2020/03/31,18:51,268650,56250,328500,931500,23043956
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/01,21:50,208790,38557,264102,814047,24114664
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/02,20:59,200447,39178,264407,822605,25231599
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/03,20:58,188273,39284,255352,891928,26143054
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/04,21:58,181383,38664,250648,920671,26716832
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/05,21:58,176874,37495,253949,920591,26429307
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/06,22:02,172901,37552,225780,832846,23374858
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/07,21:05,182939,38984,247680,827675,23619648
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/08,21:12,204158,35182,255514,823176,24168922
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/09,21:07,188746,34407,262157,877748,25186475
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/10,21:59,182200,33896,247838,902439,26209931
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/11,22:04,183957,34376,248534,871014,26018273
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/12,21:55,183569,33960,242623,889152,25965588
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/13,21:03,186304,35191,255595,817430,24803245
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/14,19:02,194982,40458,271048,778449,23088052
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/15,19:11,201612,39778,270214,767955,25576728
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/16,20:13,199044,42365,262684,765199,24944572
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/17,21:11,206960,40330,252676,785179,24486764
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/18,21:14,198719,30226,263787,866108,26417820
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/19,21:04,192160,39284,254224,852934,26079089
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/20,21:59,184007,38465,232271,785731,23370774
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/21,21:58,183666,38754,221314,805860,23826493
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/22,19:50,196626,41515,239771,761897,23673263
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/23,22:02,186959,36416,220007,818262,24171598
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/24,21:59,187669,38963,220408,829863,24558239
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/25,22:03,185860,37002,224669,882046,25610920
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/26,21:07,182226,38523,226355,854271,25708555
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/27,20:57,183897,39437,221394,760814,24123532
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/28,21:59,164227,36077,214180,792924,24172402
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/29,20:02,183897,39437,221394,760814,26175714
900092385,UNE EPM Telecomunicaciones S.A.,2020/04/30,22:29,164227,36077,214180,792924,23227190
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/01,22:01,189498,27902,230144,854096,24684085
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/02,21:55,170743,28418,231963,855435,24997013
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/03,21:01,171061,25503,210060,854022,24746330
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/04,20:55,226733,37613,226733,750337,23079510
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/05,21:06,155389,38020,214675,775902,22828666
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/06,20:55,160608,39646,225318,779869,19941830
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/07,22:02,169925,40391,238004,730529,22456176
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/08,21:06,169861,42434,234745,757070,22477139
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/09,22:10,156710,38095,228807,828984,23783455
900092385,UNE EPM Telecomunicaciones S.A.,2020/05/10,21:05,162387,38448,228539,779933,23808755
900420122,Virgin Mobile,2020/03/30,19:30,0,0,2176,0,21141
900420122,Virgin Mobile,2020/03/31,19:00,0,0,2280,0,21544
900420122,Virgin Mobile,2020/04/01,20:00,0,0,2361,0,21462
900420122,Virgin Mobile,2020/04/02,20:20,0,0,2253,0,21513
900420122,Virgin Mobile,2020/04/03,20:00,0,0,2681,0,22254
900420122,Virgin Mobile,2020/04/04,20:00,0,0,3123,0,21617
900420122,Virgin Mobile,2020/04/05,19:00,0,0,3038,0,20490
900420122,Virgin Mobile,2020/04/06,20:00,0,0,2508,0,19965
900420122,Virgin Mobile,2020/04/07,20:00,0,0,2091,0,20482
900420122,Virgin Mobile,2020/04/08,19:54,0,0,1788,0,20689
900420122,Virgin Mobile,2020/04/09,20:50,0,0,2104,0,20048
900420122,Virgin Mobile,2020/04/10,19:27,0,0,2133,0,19325
900420122,Virgin Mobile,2020/04/11,19:59,0,0,2329,0,19648
900420122,Virgin Mobile,2020/04/12,18:28,0,0,2469,0,19497
900420122,Virgin Mobile,2020/04/13,20:55,0,0,2294,0,19397
900420122,Virgin Mobile,2020/04/14,19:44,0,0,1738,0,20175
900420122,Virgin Mobile,2020/04/15,20:09,0,0,1850,0,20061
900420122,Virgin Mobile,2020/04/16,19:39,0,0,2168,0,20413
900420122,Virgin Mobile,2020/04/17,20:33,0,0,1961,0,20907
900420122,Virgin Mobile,2020/04/18,20:19,0,0,1878,0,21319
900420122,Virgin Mobile,2020/04/19,19:45,0,0,1967,0,19759
900420122,Virgin Mobile,2020/04/20,20:27,0,0,1467,0,20087
900420122,Virgin Mobile,2020/04/21,19:30,0,0,1599,0,20468
900420122,Virgin Mobile,2020/04/22,19:00,0,0,1509,0,20906
900420122,Virgin Mobile,2020/04/23,19:20,0,0,1633,0,20915
900420122,Virgin Mobile,2020/04/24,19:40,0,0,2316,0,21705
900420122,Virgin Mobile,2020/04/25,20:10,0,0,1809,0,21618
900420122,Virgin Mobile,2020/04/26,19:40,0,0,1529,0,20253
900420122,Virgin Mobile,2020/04/27,20:00,0,0,1518,0,20382
900420122,Virgin Mobile,2020/04/28,19:00,0,0,1662,0,20781
900420122,Virgin Mobile,2020/04/29,19:20,0,0,1546,0,21671
900420122,Virgin Mobile,2020/04/30,19:30,0,0,1553,0,21990
900420122,Virgin Mobile,2020/05/01,19:40,0,0,1585,0,21591
900420122,Virgin Mobile,2020/05/02,19:20,0,0,1656,0,21614
900420122,Virgin Mobile,2020/05/03,20:00,0,0,1576,0,20611
900420122,Virgin Mobile,2020/05/04,19:20,0,0,1579,0,21175
900420122,Virgin Mobile,2020/05/05,19:40,0,0,1464,0,20950
900420122,Virgin Mobile,2020/05/06,19:40,0,0,1465,0,21389
900420122,Virgin Mobile,2020/05/07,20:30,0,0,1437,0,21652
900420122,Virgin Mobile,2020/05/08,19:20,0,0,1560,0,22308
900420122,Virgin Mobile,2020/05/09,20:02,0,0,1630,0,22195
900420122,Virgin Mobile,2020/05/10,19:30,0,0,1763,0,23224
