Radicado,Ponente,Autoridad orden nacional,Acto demandado,Contenido acto
11001-03-15-000-2020-00966-00,Julio Roberto Piza Rodríguez,Superintendencia de Economía solidaria,Resolución 2020SES003695 del 19 de marzo del 2020,"Resolución 2020SES003695 del 19 de marzo del 2020: “Por la cual se adoptan medidas transitorias por motivos de la propagación del virus COVID-19, consistentes en la suspensión de términos en las actuaciones administrativas y procesales del régimen administrativo sancionatorio y disciplinario.”"
11001-03-15-000-2020-00967-00,Milton Chaves García,Superintendencia de Subsidio Familiar,Resolución 0097 del 19 de marzo del 2020,"Resolución 0097 del 19 de marzo del 2020: “Por medio de la cual se adoptan medidas transitorias en el marco del Estado de Emergencia Económica, Social y Ecológica”"
11001-03-15-000-2020-00968-00,Rafael Francisco Suárez Vargas,Superintendencia de Sociedades,Circular externa 100-000003 del 17 de marzo del 2020,"Circular externa 100-000003 del 17 de marzo del 2020: “Modificación de los plazos para la presentación de los estados financieros del año 2019, establecidos en la Circular Externa No. 201-000008 del 22 de noviembre de 2019”"
11001-03-15-000-2020-00969-00,Guillermo Sánchez Luque,Superintendencia de Sociedades,Circular externa 100-000004 del 24 de marzo del 2020,Circular externa 100-000004 del 24 de marzo del 2020: “Alcance a la Circular Externa 100-00002 de 2020 conforme a lo previsto en el Decreto 434 de 19 de marzo de 2020.”
11001-03-15-000-2020-00970-00,Luis Alberto Álvarez Parra,Superintendencia de Sociedades,Circular externa 100-000012 del 13 de marzo del 2020,"Circular externa 100-000012 del 13 de marzo del 2020: “Acciones en materia de prevención, manejo y control de enfermedades respiratorias y acciones de contención ante el COVID-19”"
11001-03-15-000-2020-00971-00,Julio Roberto Piza Rodríguez,Superintendencia de Sociedades,Resolución 100-000938 del 16 de marzo del 2020,"Resolución 100-000938 del 16 de marzo del 2020: “Por la cual se decreta como medida transitoria por motivos de salubridad pública, la suspensión de términos para los procesos judiciales de Procedimientos Mercantiles y de Procedimientos de Insolvencia que se tramitan en la Superintendencia de Sociedades”"
11001-03-15-000-2020-00972-00,Marta Nubia Velásquez Rico,Superintendencia de Sociedades,Resolución 100-000978 del 17 de marzo del 2020,"Resolución 100-000978 del 17 de marzo del 2020: “Por la cual se decreta como medida transitoria por motivos de salubridad pública, la suspensión de términos en las actuaciones administrativas y disciplinarias que se adelantan en la Superintendencia de Sociedades”"
11001-03-15-000-2020-00973-00,Nubia Margoth Peña Garzón,Superintendencia de Sociedades,Resolución 100-001026 del 24 de marzo del 2020,Resolución 100-001026 del 24 de marzo del 2020: “Por la cual se decreta como medida transitoria la suspensión de términos para los procesos jurisdiccionales de Procedimientos Mercantiles y de Procedimientos de Insolvencia que se tramitan en la Superintendencia de Sociedades.”
11001-03-15-000-2020-00974-00,Milton Chaves García,Unidad Administrativa Especial Migración Colombia,Resolución 0779 del 6 de marzo del 2020,Resolución 0779 del 6 de marzo del 2020: “Por la cual se suspende la prestación del servicio de Migración Automática”
11001-03-15-000-2020-00975-00,Luis Alberto Álvarez Parra,Unidad Administrativa Especial Migración Colombia,Resolución 0918 del 19 de marzo del 2020,Resolución 0918 del 19 de marzo del 2020: “Por la cual se adoptan medidas extraordinarias temporales para la prestación de los trámites y servicios migratorios a nivel nacional y se dictan otras disposiciones”
11001-03-15-000-2020-00976-00,Julio Roberto Piza Rodríguez (E),Corporación Autónoma Regional del Atlántico,Resolución 000123 del 16 de marzo del 2020,"""Por medio de la cual se acogen medidas de orden administrativo para el control del riesgo excepcional causado por el Covid 19 y se dictan otras disposiciones"""
11001-03-15-000-2020-00977-00,William Hernández Gómez,Corporación Autónoma Regional del Atlántico,Resolución 000124 del 19 de marzo del 2020,"""Por medio de la cual modifica la Resolución 000123 del 16 de marzo de 2020, por medio de la cual se acogen medidas de orden administrativo para el control del riesgo excepcional causado por el Covid 19 y se dictan otras disposiciones"""
11001-03-15-000-2020-00978-00,Jaime Enrique Rodríguez Navas,Corporación Autónoma Regional del Atlántico,Resolución 000132 del 24 de marzo del 2020,"""Por medio de la cual modifica las resoluciones 000123 y 124 de marzo de 2020, por medio de la cual se acogen medidas de orden administrativo para el control del riesgo excepcional causado por el Covid 19 y se dictan otras disposiciones"""
11001-03-15-000-2020-00979-00,Sandra Lisset Ibarra Vélez,Fiscalía General de la Nación,Circular 005 del 24 de marzo del 2020,Circular 005 del 16 de marzo del 2020: “Medidas preventivas para la contención de la infección respiratoria aguda producida por el nuevo coronavirus COVID-19”
11001-03-15-000-2020-00980-00,Carlos Enrique Moreno Rubio,Fiscalía General de la Nación,Circular 006 del 24 de marzo del 2020,"Circular 006 del 24 de marzo del 2020: “Medidas de prevención en el desarrollo de los procesos a cargo del fondo especial para la administración de bienes de la Fiscalía General de la Nación “FEAB”, durante el período de emergencia decretado por el COVID-19”"
11001-03-15-000-2020-00981-00,Rocío Araújo Oñate,Fiscalía General de la Nación,Circular 005 del 24 de marzo del 2020,"Circular 005 del 24 de marzo del 2020: “Medidas de prevención en el desarrollo de procesos contractuales en el nivel central de la Fiscalía General de la Nación, durante el período de emergencia”"
11001-03-15-000-2020-00982-00,Roberto Augusto Serrato Valdés,Agencia de Desarrollo Rural,Circular 027 del 17 de marzo de 2020,"Circular 027 del 17 de marzo de 2020 suscrita el presidente de la Agencia de Desarrollo Rural, para todos los servidores públicos y contratistas de la agencia de desarrollo rural.  Asunto: seguimiento a labores de trabajo en casa."
11001-03-15-000-2020-00983-00,María Adriana Marín,Agencia de Desarrollo Rural,Circular 031 24 de marzo del 2020,"Circular 031 del 24 de marzo de 2020 suscrita el presidente de la Agencia de Desarrollo Rural, para los servidores públicos, contratistas y usuarios de la ADR. Asunto: lineamientos relacionados con la prestación del servicio."
11001-03-15-000-2020-00984-00,Rafael Francisco Suárez Vargas,Agencia Nacional del Espectro,Resolución 000100 del 16 de marzo del 2020,"Por medio de la cual se establecen directrices de carácter temporal y extraordinarias y se toman medidas preventivas para evitar y contener la propagación del covid-19 y se dictan otras disposiciones"""
11001-03-15-000-2020-00985-00,Lucy Jeannette Bermúdez Bermúdez,Agencia Nacional del Espectro,Resolución 000103 del 24 de marzo del 2020,"""Por medio de la cual se modifican las directrices de carácter temporal, extraordinarias y preventivas contenidas en la Resolución 000100 de 2020, con ocasión de la declaratoria de aislamiento preventivo obligatorio ordenada mediante el Decreto Legislativo 457 de 2020 y se dictan otras disposiciones"""
11001-03-15-000-2020-00986-00,Martín Bermúdez Muñoz,"Unidad Administrativa Especial Agencia del Inspector General de Tributos, Rentas y Contribuciones Parafiscales",Resolución 095 del 17 de marzo del 2020,"""Por medio de la cual se suspenden términos en las actuaciones disciplinarias de la U.A.E. Agencia del Inspector General de Tributos, Rentas y Contribuciones Parafiscales-ITR., como consecuencia de la emergencia sanitaria por el covid-19"""
11001-03-15-000-2020-00987-00,Ramiro Pazos Guerrero,Corporación Autónoma Regional del Centro de Antioquia- CORANTIOQUIA,Resolución 2003-1388  del 19 de marzo del 2020,"""Por medio de la cual se suspenden, con carácter temporal, los términos en los procedimientos y actuaciones administrativas que se surten en las diferentes dependencias de la sede central, oficinas territoriales y sedes locales de la Corporación Autónoma Regional del Centro de Antioquia CORANTIOQUIA, en atención a la contingencia generada por el covid-19""."
11001-03-15-000-2020-00988-00,Marta Nubia Velásquez Rico (E),Corporación Autónoma Regional del Centro de Antioquia- CORANTIOQUIA,Resolución 2003-1404 del 24 de marzo del 2020,"""Por medio de la cual se modifica la Resolución 2003-1388 del 19 de marzo de 2020, prorrogando la suspensión de términos definida en los procedimientos y actuaciones administrativas que se surten en la Corporación Autónoma Regional del Centro de Antioquia  CORANTIOQUIA y se toman otras determinaciones complementarias en atención a la contingencia generada por el covid-19"""
11001-03-15-000-2020-00989-00,César Palomino Cortés,Autoridad Nacional de Licencias Ambientales - ANLA,Resolución 00470 del 19 de marzo del 2020,"""Por la cual se suspende la atención de los servicios presenciales de la Autoridad Nacional de Licencias Ambientales - ANLA"""
11001-03-15-000-2020-00990-00,Hernando Sánchez Sánchez,Comisión de Regulación de Comunicaciones CRC,Resolución 5951 del 26 de marzo del 2020,"""Por medio de la cual se da cumplimiento a lo establecido en el artículo 4 del Decreto 464 de 2020, y se dictan otras disposiciones"""
11001-03-15-000-2020-00991-00,Gabriel Valbuena Hernández,Comisión de Regulación de Comunicaciones CRC,Resolución 5952 del 26 de marzo del 2020,"""Por la cual se suspenden, hasta el 31 de mayo, el cumplimiento de los indicadores de calidad para el servicio de televisión y los efectos de las disposiciones en materia de medición, calculo y reporte de los indicadores de calidad de datos móviles para tecnología de acceso 3g y de los indicadores de calidad de la trasmisión de televisión por cable hfc analógico, televisión por cable hfc digital, televisión satelital y televisión con tecnología iptv, y se dictan otras disposiciones"""
11001-03-15-000-2020-00992-00,Guillermo Sánchez Luque,Departamento Administrativo para la Prosperidad Social,Resolución 00626 del 26 de marzo del 2020,"""Por la cual se efectúa un traslado presupuestal en el presupuesto de gastos de inversión del Departamento Administrativo para la Prosperidad Social, para la vigencia fiscal 2020"""
11001-03-15-000-2020-00993-00,Nicolás Yepes Corrales,Departamento Administrativo para la Prosperidad Social,Resolución 00628 del 26 de marzo del 2020,"""Por la cual se suspenden términos dentro de los procesos administrativos de cobro coactivo que se adelanten en el Departamento Administrativo para la Prosperidad Social a partir del 26 de marzo de 2020 y hasta 30 de abril de 2020"""
11001-03-15-000-2020-00994-00,Oswaldo Giraldo López,Departamento Administrativo para la Prosperidad Social,Resolución 00629 del 26 de marzo del 2020,"Resolución 00629 del 26 de marzo de 2020 proferida por la directora del Departamento Administrativo para la Prosperidad Social, ""Por medio de la cual se declara una urgencia manifiesta"""
11001-03-15-000-2020-00995-00,Stella Jeannette Carvajal Basto,Departamento Administrativo para la Prosperidad Social,Resolución 00607 del 24 de marzo del 2020,"Resolución 00629 del 26 de marzo de 2020 proferida por la directora del Departamento Administrativo para la Prosperidad Social, ""Por medio de la cual se declara una urgencia manifiesta"""
11001-03-15-000-2020-00996-00,Carmelo Perdomo Cuéter,Departamento Administrativo Nacional de Estadística - DANE,Resolución 38 del 25 de marzo del 2020,"""Por medio de la cual se adoptan medidas transitorias en contratos y convenios celebrados por el Departamento Administrativo para la Prosperidad Social - Fondo de Inversiones para la Paz-FIP"""
11001-03-15-000-2020-00997-00,Alberto Montaña Plata,Departamento Administrativo para la Prosperidad Social,Resolución 00619 del 25 de marzo del 2020,"""Por medio de la cual se declara la urgencia manifiesta para celebrar la contratación de bienes y servicios necesarios, para prevenir, contener y mitigar los efectos de la pandemia del coronavirus Covid-19 y garantizar la continuidad de la gestión del Departamento Administrativo Nacional de Estadistica - DANE"""
11001-03-15-000-2020-00998-00,Martín Bermúdez Muñoz,Departamento Administrativo Nacional de Estadística - DANE,Resolución 0462 del 27 de marzo del 2020,"""Por medio de la cual se regula la entrega de la transferencia monetaria no condicionada, adicional y extraordinaria a las familias del programa familias en acción, en cumplimiento del decreto 417 de 2020 'por el cual se declara un estado de emergencia económica, social y ecológica en todo el territorio nacional'"""
11001-03-15-000-2020-00999-00,Julio Roberto Piza Rodríguez,Departamento Administrativo Nacional de Estadística - DANE,Circular 009 del 24 de marzo de 2020,"Circular 009 del 24 de marzo de 2020 suscrita por la Dirección General del Departamento Administrativo Nacional de Estadística, para la subdirección, secretaría general, direcciones técnicas, direcciones territoriales, jefaturas de oficina, coordinadores de área, coordinaciones administrativas, supervisores, servidores públicos"
11001-03-15-000-2020-01000-00,Jaime Enrique Rodríguez Navas,Ministerio de Relaciones Exteriores,Circular C-DSG-DITH-20-000035 del 13 de marzo de 2020,"Circular C-DSG-DITH-20-000035 del 13 de marzo de 2020 suscrita por la ministra de relaciones exteriores, para las misiones en el exterior cancillería interna. Asunto: lineamientos específicos de contención ante el covid-19"
11001-03-15-000-2020-01001-00,Alberto Montaña Plata,Ministerio de Relaciones Exteriores,Circular C-DSG-DITH-20-000038 del 16 de marzo de 2020,"Circular C-DSG-DITH-20-000038 del 16 de marzo de 2020 suscrita por el secretario general encargado del Ministerio de Relaciones Exteriores, para las misiones en el exterior. Asunto: medidas preventivas covid-19"
11001-03-15-000-2020-01002-00,Rocío Araújo Oñate,Ministerio de Relaciones Exteriores,Circular C-DSG-DITH-20-000037 del 16 de marzo de 2020,"Circular C-DSG-DITH-20-000037 del 16 de marzo de 2020 suscrita por el secretario general encargado del Ministerio de Relaciones Exteriores, para las misiones en el exterior, funcionarios en el exterior y la cancillería interna. Asunto: lineamientos a implementar para trabajo en casa por medio del uso de las tics, conforme a la directiva presidencial no. 02 de 2020."
11001-03-15-000-2020-01003-00,Julio Roberto Piza Rodríguez (E),Ministerio de Relaciones Exteriores,Circular C-DSG-DITH-20-000046 del 26 de marzo de 2020,"La Circular C-DSG-DITH-20-000046 del 26 de marzo de 2020 suscrita por la ministra de relaciones exteriores, para los jefes de misiones diplomáticas y responsables de funciones consulares de Colombia en el exterior. Asunto: medidas prioritarias para atender a los connacionales que se encuentran temporalmente en el exterior y no pudieron ingresar a territorio colombiano como consecuencia de la restricción de salida e ingreso de vuelos decretadas por varios estados para enfrentar la pandemia del covid-19"
11001-03-15-000-2020-01004-00,María Adriana Marín,Ministerio de Relaciones Exteriores,Memorando I-GAIC-20-004298 del 27 de marzo de 2020,"Memorando I-GAIC-20-004298 del 27 de marzo de 2020 suscrita por el director de asuntos migratorios, consulares y de servicio al ciudadano del Ministerio de Relaciones Exteriores, para cónsules y encargados de funciones consulares. Asunto: directrices de atención consular - epidemia de coronavirus"
11001-03-15-000-2020-01005-00,Gabriel Valbuena Hernández,Ministerio de Relaciones Exteriores,Memorando I-GAIC-20-004608 del 3 de marzo de 2020,"Memorando I-GAIC-20-004608 del 3 de marzo de 2020 suscrita por coordinador del grupo interno de trabajo de asistencia a connacionales en el exterior del Ministerio de Relaciones Exteriores, para cónsules y encargados de funciones consulares. Asunto: piezas comunicativas Minsalud - coronavirus."
11001-03-15-000-2020-01006-00,William Hernández Gómez,Ministerio de Relaciones Exteriores,Memorando I-GAMG-20-004065 del 25 de marzo de 2020,"Memorando I-GAMG-20-004065 del 25 de marzo de 2020 suscrita por el director de asuntos migratorios, consulares y de servicio al ciudadano del Ministerio de Relaciones Exteriores, para cónsules y encargados de funciones consulares. Asunto: información sobre medidas de control implementadas en Colombia frente a la emergencia por el brote de nuevo coronavirus (COVID-19)."
11001-03-15-000-2020-01007-00,Ramiro Pazos Guerrero,Ministerio de Relaciones Exteriores,Memorando urgente I-GAMG-20-005170 del 11 de marzo de 2020,"Memorando urgente I-GAMG-20-005170 del 11 de marzo de 2020 suscrita por la directora de asuntos migratorios, consulares y de servicio al ciudadano del Ministerio de Relaciones Exteriores, para misiones diplomáticas y oficinas consulares en el exterior. Asunto: alcance al memorando i-gamg-20-004065 de 25 de febrero de 2020. información sobre medidas de control implementadas en Colombia frente a la emergencia por el brote de nuevo coronavirus (COVID-19)."
11001-03-15-000-2020-01008-00,Marta Nubia Velásquez Rico (E),Ministerio de Relaciones Exteriores,Memorando muy urgente I-GAMG-20-005420 del 16 de marzo de 2020,"Memorando muy urgente I-GAMG-20-005420 del 16 de marzo de 2020 suscrita por la directora de asuntos migratorios, consulares y de servicio al ciudadano del Ministerio de Relaciones exteriores, para cónsules y encargados de funciones consulares. Asunto: reiteración medidas contingencia COVID-19"
11001-03-15-000-2020-01009-00,Milton Chaves García,Ministerio de Relaciones Exteriores,Circular C-DSG-DITH-20-000044 del 24 de marzo de 2020,"Circular C-DSG-DITH-20-000044 del 24 de marzo de 2020 suscrita por el secretario general encargado del Ministerio de Relaciones Exteriores, para los coordinadores, viceministros, directores y personal interno. Asunto: lineamientos durante el desarrollo de confinamiento nacional."
11001-03-15-000-2020-01012-00,Carlos Enrique Moreno Rubio,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 691 del 20 de marzo de 2020,"Resolución 691 del 20 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por medio de la cual se establecen medidas de carácter temporal para atender la contingencia generada por el covid-19 y se modifican algunas disposiciones contenidas en la Resolución 672 del 16 de marzo de 2020 y la Resolución 0270 del 12 de febrero de 2020"""
11001-03-15-000-2020-01013-00,César Palomino Cortés,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 695 del 24 de marzo de 2020,"Resolución 695 del 24 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por medio de la cual se suspenden de manera temporal los términos de algunos trámites administrativos y se dictan otras disposiciones"""
11001-03-15-000-2020-01014-00,Stella Jeannette Carvajal Basto,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 693 del 24 de marzo de 2020,"Resolución 693 del 24 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por medio de la cual se establecen medidas de carácter temporal para atender la contingencia generada por el covid-19 y se dictan otras disposiciones"""
11001-03-15-000-2020-01015-00,Nicolás Yepes Corrales,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 684 del 19 de marzo de 2020,"Resolución 684 del 19 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por la cual se ordena la suspensión de términos en los trámites de evaluación y decisión de procesos permisionarios y licencias ambientales de la subdirección de administración de recursos naturales y se toman otras determinaciones"""
11001-03-15-000-2020-01016-00,Lucy Jeannette Bermúdez Bermúdez,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 692 del 20 de marzo de 2020,"Resolución 692 del 20 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por la cual se suspenden términos en las actuaciones administrativas de la Corporación Autónoma Regional de Boyacá, Corpoboyaca"""
11001-03-15-000-2020-01017-00,Sandra Lisset Ibarra Vélez,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 690 del 19 de marzo de 2020,"Resolución 690 del 19 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por medio de la cual se suspenden términos de los trámites correspondientes a la administración del recurso hídrico de la competencia de la subdirección de ecosistemas y gestión ambiental que se adelantan en la jurisdicción de la Corporación Autónoma regional de Boyacá, Corpoboyaca"""
11001-03-15-000-2020-01018-00,Roberto Augusto Serrato Valdés,Corporación Autónoma Regional de Boyacá - CORPOBOYACA,Resolución 688 del 19 de marzo de 2020,"Resolución 688 del 19 de marzo de 2020 proferida por la Corporación Autónoma regional de Boyacá, ""por la cual se adopta medida transitoria de implementa trabajo en casa"""
11001-03-15-000-2020-01019-00,Hernando Sánchez Sánchez,Corporación para el Desarrollo Sostenible del Área de Manejo Especial de la Macarena - CORMACARENA,Resolución ps-gj.1.2.6.020.112 del 19 de marzo de 2020,"Resolución ps-gj.1.2.6.020.112 del 19 de marzo de 2020 proferida por la corporación para el desarrollo sostenible del área de manejo especial la macarena - Cormacarena, ""por la cual adoptan medidas transitorias respecto de la suspensión de atención presencial al público, de las visitas técnicas, de los términos de las actuaciones administrativas de la Corporación para el Desarrollo Sostenible del Área de manejo especial la macarena 'Cormacarena', y se dictan otras disposiciones"""
11001-03-15-000-2020-01020-00,Nubia Margoth Peña Garzón,Corporación para el Desarrollo Sostenible del Área de Manejo Especial de la Macarena - CORMACARENA,Resolución ps-gj.1.2.6.020.117 del 24 de marzo de 2020,"Resolución ps-gj.1.2.6.020.117 del 24 de marzo de 2020 proferida por la Corporación para el Desarrollo Sostenible del Área de Manejo Especial la Macarena - CORMACARENA, ""por la cual se adiciona el artículo octavo, se modifican los artículos primero, segundo y tercero de la resolución no. PS-GJ.1.2.6.020.112 del 19 de marzo de 2020, y se dictan otras disposiciones"""
11001-03-15-000-2020-01021-00,Rafael Francisco Suárez Vargas,Corporación Autónoma Regional del Río Grande de la Magdalena - CORMAGDALENA,Resolución 000097 del 25 de marzo de 2020,"Resolución 000097 del 25 de marzo de 2020 proferida por la Corporación Autónoma Regional del Rio Grande de la Magdalena - CORMAGDALENA, ""por medio de la cual se suspenden términos, se adoptan algunas medidas transitorias por causa del covid-19 en la Corporación Autónoma Regional del Rio Grande de la Magdalena - CORMAGDALENA, y se dictan otras disposiciones"""
